0,5791.7,6143.9,5880.6,5903.5,5530.7,5859.7,6507.9,5602.8,5472.8,5965.4,6271.4,6069.6,5894.4,5350,6346.1,5613.2,5281.4,6566.7,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38821.5,26777.8,20521,0,38276.1,25414.2,27526,25074.3,36555.3,24407.9,46079.1,38588.5,33607,23090.7,41328.7,32937.3,37914.2,29589.6,40141.4,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27851,19565.8,14438.4,26141.1,27472.7,0,21221.9,21454.7,24016.4,16122,32031,25631.7,26018.4,19513.8,26799.6,21163.8,23434.6,18781.8,25967.6,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9165.8,7803.1,9205.8,7550.3,8660.1,7475.4,7582.2,0,6831.1,8181,8154.7,9233.6,8322.6,8016.2,8787.1,9163.2,7914.2,7232.4,7247,
44237.1,30151.4,20328.6,44157.1,41385.7,31808.2,33684.7,34664.4,0,25834.1,51493.8,38593.2,42913.7,31391.6,44741.5,39335.2,41319.1,31371,44466.6,
5215.6,4612.9,5920.6,4037.1,4704.4,4979.4,5615.3,4822.3,4529.2,0,4390.8,5178.5,6325.9,4404.9,5542.1,5352,5788,4921.5,5398.8,
43658,29420.8,19159,36315,34234.9,36118.9,29537.1,24727.4,32468.4,19693.5,0,40424.4,36889.7,30686.8,43299.1,38151.8,33650.9,26731.2,43475.1,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
46669.1,27572.2,22617.8,40258.2,40413.1,29738.4,29780.4,31982.1,37415.3,27700.7,48960.3,42026,0,25833.9,42150.6,36006,30385.7,30813.3,33820.5,
39114.6,29112.5,19926.9,38960.6,37890.9,31375.5,30497.6,33254.7,38038.3,22346.4,45010.9,36289.9,37620.5,0,42018.2,35522.3,40816.4,28576.1,41178.6,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6285.9,6618.2,6657.3,6648.2,6467.3,6346.4,8345.2,7266.3,6244.2,7067,5976.4,6410.6,7203.5,7998.3,6712.8,0,7273.4,7335.8,7134.6,
43728.4,34221,23773.8,41614.7,46476.2,32686.7,29044.1,33102.3,37964.6,28816,47430.6,43298.2,40652.4,29278.5,45960.2,36964.4,0,33245.5,45333.5,
32212.4,20443.9,15698.1,26707.1,26761.6,19596.3,21616.9,22254.6,20908.4,16235.6,31964.4,24400,25389.4,20495.6,30169.4,25755.6,26465.5,0,28733.9,
40718.4,29403.4,21964.4,34789.7,37599.2,24186.8,32836.3,27886.3,41169.7,20997.3,39813.5,36456.5,31537.7,25522.7,39401.1,29618.1,36555.4,28130.9,0,
